topic,weight,weight_normalized
grumpy,0.027552375649363994,100.0
grump,0.02719180083397958,98.68911307553024
daily,0.02651537712824805,96.22994245847119
daily grump,0.026436391570232084,95.942786698259
cat,0.024012973183775318,87.1323336666491
grumpy cat,0.022789980188847352,82.6860843520374
worst,0.009102495584343149,32.92458179729916
awful,0.008267632857234627,29.889398567635816
ever,0.007568754310372133,27.34859230556298
new,0.0072784070811547875,26.293021117288873
december,0.007011423741102094,25.322390461475546
grump december,0.006213747810370241,22.42240160217088
january,0.0060786121253279,21.93110937932828
grump january,0.006051765589831991,21.833507520165206
terrible,0.00596349743569894,21.512604439408616
unfortunately,0.005529476060875493,19.934699048013268
available,0.005463746746106848,19.695736991851046
november,0.005246751985640434,18.906842199322043
grump november,0.005123618742692034,18.45918542668657
today,0.00508354383880874,18.31349120385521
october,0.005034177289966316,18.134016762982966
grump october,0.004931113643909184,17.759323966259384
meet,0.004891875803171457,17.61667292638386
christmas,0.0047467952103630575,17.089225517434635
worst ever,0.004697090227703198,16.90852068429109
get,0.004681021175916921,16.850100880753782
grump february,0.004385069180925282,15.774153299412937
february,0.004385069180925282,15.774153299412937
amp,0.004353954228458113,15.661033406940067
day,0.0040318222028611255,14.489907076727976
tonight,0.003978806429814145,14.297165707356822
free,0.00392689954702294,14.108455761354541
thanks,0.003798389957007477,13.641253022747735
video,0.0036426539355469455,13.075067295150806
september,0.003528142859607762,12.658756821565442
grump september,0.003485992644150553,12.50551770460845
one,0.003425842476968973,12.286838905372457
year,0.003393486579991988,12.169207499997121
time,0.003393114381517383,12.167854354705632
good,0.0033648711422838004,12.065174712544536
